STRONG GROUND MOTION RECORDS OF TURKIYE
PLACE                   : MUðLA MILAS_2 DERINCE BARAJI&#40;KRET-CREST&#41;
EARTHQUAKE DATE         : 2017/07/20 22:31:09 (GMT)
EPICENTER COORDINATES   : 36.91980N-27.44350E
EARTHQUAKE DEPTH (km)   : 19.44
EARTHQUAKE MAGNITUDE    : 6.5 Mw
STATION ID              : 4822
STATION COORDINATES     : 37.44170N-27.64600E
STATION ALTITUDE (m)    : 128
RECORDER TYPE           : GeoSig gmsplus
RECORDER SERIAL NO      : 101468
RECORD TIME             : 20/07/2017 22:30:59.000000 (GMT)
NUMBER OF DATA          : 15142
SAMPLING INTERVAL (sec) : 0.01
RAW PGA VALUES (gal)    : (N-S) 76.656958 (E-W) 76.914496 (U-D) 61.345265
Copyright EARTHQUAKE DEPARTMENT
DISASTER AND EMERGENCY MANAGEMENT PRESIDENCY
       N-S          E-W          U-D
    0.030925     -0.173338    -0.009615
    0.004938     -0.163723    -0.019751
   -0.023389     -0.147870    -0.015852
   -0.038462     -0.137215     0.004938
   -0.033524     -0.131238     0.020530
   -0.018191     -0.136695     0.015852
    0.003638     -0.145791    -0.001819
    0.021050     -0.164502    -0.022869
    0.023389     -0.187891    -0.031965
    0.016112     -0.186852    -0.023649
    0.001819     -0.187891    -0.005977
   -0.010395     -0.195428     0.000520
   -0.013773     -0.189190    -0.003378
   -0.011954     -0.174377    -0.001040
   -0.007536     -0.158265     0.002599
   -0.005198     -0.150209     0.003898
    0.001819     -0.150989     0.003119
    0.011435     -0.165282     0.003119
    0.009615     -0.183213     0.003378
    0.001819     -0.187631    -0.007536
   -0.008316     -0.188931    -0.026248
   -0.017152     -0.188931    -0.033264
   -0.017412     -0.185032    -0.021830
   -0.010915     -0.184773     0.005717
    0.002859     -0.172558     0.016632
    0.018711     -0.152028     0.007277
    0.028067     -0.145791     0.014293
    0.028846     -0.144751     0.030925
    0.020270     -0.152288     0.046258
    0.012214     -0.162943     0.039761
    0.011435     -0.172298     0.006237
    0.014553     -0.188411    -0.016892
    0.023909     -0.185292    -0.019231
    0.027287     -0.163982    -0.014293
    0.014553     -0.157226    -0.015852
   -0.005457     -0.165282    -0.029886
   -0.023649     -0.167881    -0.037942
   -0.038202     -0.169440    -0.027027
   -0.043919     -0.175157    -0.011435
   -0.037682     -0.185032    -0.001299
   -0.027287     -0.197507     0.007017
   -0.011175     -0.196467     0.012994
    0.010915     -0.183213     0.014033
    0.028586     -0.169960     0.008056
    0.030146     -0.158785    -0.002339
    0.023129     -0.138255    -0.011694
    0.016372     -0.116685    -0.009356
    0.004678     -0.114086     0.010655
    0.002859     -0.119024     0.033524
    0.004678     -0.131238     0.034564
   -0.005457     -0.155406     0.014033
   -0.010915     -0.183993    -0.013514
   -0.013254     -0.208941    -0.028846
   -0.014293     -0.210760    -0.022609
   -0.004678     -0.206082    -0.011694
    0.005198     -0.205563    -0.004418
    0.008836     -0.185552    -0.004158
    0.008576     -0.166321    -0.004938
    0.004418     -0.165282     0.007017
    0.002079     -0.174377     0.012474
    0.013254     -0.186332     0.003378
    0.036643     -0.180615     0.000000
    0.040281     -0.172039    -0.004418
    0.018191     -0.166841    -0.013254
   -0.004678     -0.151248    -0.010655
   -0.029366     -0.151248    -0.012214
   -0.045219     -0.159824    -0.023909
   -0.040801     -0.160604    -0.025988
   -0.029626     -0.162683    -0.021050
   -0.018971     -0.153327    -0.019231
   -0.004938     -0.144751    -0.004158
    0.011694     -0.140853     0.024428
    0.020790     -0.141893     0.041320
    0.034044     -0.161903     0.044699
    0.046518     -0.175937     0.023649
    0.034304     -0.176716    -0.002859
    0.008836     -0.171259    -0.007277
   -0.015852     -0.158265    -0.008576
   -0.030146     -0.153327    -0.002079
   -0.027287     -0.156446     0.002599
   -0.010395     -0.165282    -0.001040
    0.012734     -0.184773     0.010395
    0.030146     -0.202184     0.017932
    0.035603     -0.214918     0.002859
    0.027287     -0.236488    -0.022869
    0.018191     -0.250262    -0.044699
    0.010135     -0.231550    -0.045738
   -0.001040     -0.188671    -0.025468
   -0.013773     -0.149429    -0.012734
   -0.031445     -0.132018    -0.011954
   -0.036383     -0.127600    -0.001299
   -0.030406     -0.127080     0.016632
   -0.023129     -0.118504     0.031445
   -0.011175     -0.110448     0.028327
    0.002339     -0.127859     0.009875
    0.018711     -0.147610    -0.002859
    0.031445     -0.158265    -0.004938
    0.027287     -0.168660     0.008836
    0.007017     -0.167361     0.022349
   -0.015852     -0.167361    -0.000260
   -0.028586     -0.177496    -0.035343
   -0.023389     -0.189190    -0.044959
   -0.000780     -0.191010    -0.025468
    0.028327     -0.176976     0.020790
    0.041580     -0.159305     0.061331
