STRONG GROUND MOTION RECORDS OF TURKIYE
PLACE                   : MUðLA YERKESIK ORMAN ISLETME
EARTHQUAKE DATE         : 2017/07/20 22:31:09 (GMT)
EPICENTER COORDINATES   : 36.91980N-27.44350E
EARTHQUAKE DEPTH (km)   : 19.44
EARTHQUAKE MAGNITUDE    : 6.5 Mw
STATION ID              : 4808
STATION COORDINATES     : 37.13920N-28.28725E
STATION ALTITUDE (m)    : 661
RECORDER TYPE           : GeoSig gmsplus
RECORDER SERIAL NO      : 101129
RECORD TIME             : 20/07/2017 22:30:58.000000 (GMT)
NUMBER OF DATA          : 15270
SAMPLING INTERVAL (sec) : 0.01
RAW PGA VALUES (gal)    : (N-S) 27.024869 (E-W) 16.344964 (U-D) 9.975898
Copyright EARTHQUAKE DEPARTMENT
DISASTER AND EMERGENCY MANAGEMENT PRESIDENCY
       N-S          E-W          U-D
   -0.018191     -0.001559     0.002339
    0.017932      0.005198     0.001559
   -0.012214      0.001040     0.002599
    0.006757     -0.003119    -0.000780
   -0.002859      0.001559     0.002079
   -0.005457     -0.011175    -0.010915
    0.008836      0.002859     0.001040
   -0.018191     -0.008316    -0.007277
    0.016372      0.008576     0.002599
   -0.015073      0.001299     0.004678
    0.014553      0.000520    -0.007796
   -0.006757      0.004418     0.007796
   -0.001040     -0.005717    -0.002079
    0.009096      0.010395     0.005717
   -0.008836     -0.004678    -0.001040
    0.020790      0.008836     0.001819
   -0.017932     -0.004158    -0.001299
    0.013514     -0.003378    -0.007536
   -0.015333      0.002339     0.004678
   -0.003638     -0.005977    -0.005457
   -0.002339      0.010395     0.006237
   -0.011954     -0.004158    -0.001299
    0.023909      0.005977     0.001819
   -0.009096     -0.005457     0.001299
    0.023129     -0.003898    -0.005198
   -0.015852     -0.002079    -0.001819
   -0.002859     -0.005717    -0.008316
   -0.008836      0.009096     0.004938
   -0.015073      0.001559    -0.004158
    0.017932      0.009875    -0.001299
   -0.008056     -0.005457    -0.002339
    0.029886      0.001299    -0.002599
   -0.008056     -0.002339    -0.001299
    0.006237     -0.002859    -0.008316
   -0.009875      0.007796     0.005198
   -0.012994     -0.002079    -0.001819
    0.010395      0.010655     0.000780
   -0.010655     -0.005198    -0.002599
    0.022349      0.000520    -0.001299
   -0.014553     -0.008056    -0.002079
    0.010655     -0.006757    -0.003898
   -0.010915      0.004158    -0.001040
   -0.001819     -0.000520    -0.005457
    0.007796      0.014813     0.008316
   -0.010395     -0.002339    -0.009096
    0.023129      0.004158    -0.000780
   -0.013254     -0.007277     0.003898
    0.019231     -0.005198    -0.003378
   -0.011954      0.000000     0.004938
    0.001040     -0.004418    -0.007796
   -0.000780      0.010395    -0.001299
   -0.015593     -0.003638     0.000260
    0.011694      0.004418     0.014033
   -0.021830     -0.010915     0.004938
    0.018711     -0.001040    -0.004938
   -0.010655      0.003378     0.003898
    0.013773      0.000520    -0.003119
    0.002079      0.011175     0.002859
   -0.008576     -0.009615    -0.006237
    0.011175      0.002859    -0.001559
   -0.018711     -0.005717    -0.005977
    0.021570      0.005977    -0.002079
   -0.015073      0.002339     0.002599
    0.007536     -0.005457    -0.005457
   -0.011435      0.001559     0.004678
   -0.003378     -0.013254    -0.005977
    0.015333      0.002599     0.005457
   -0.013254     -0.005457     0.001819
    0.020011      0.005977     0.000520
   -0.016632      0.001819    -0.000260
    0.016372      0.005717    -0.010915
   -0.012214      0.009096     0.001559
   -0.005977     -0.006497    -0.002599
    0.003378      0.000780     0.004938
   -0.012994     -0.011954    -0.004938
    0.021050      0.006757    -0.002599
   -0.016372     -0.001819     0.002859
    0.015073      0.001819    -0.000520
   -0.014553      0.001299     0.004938
    0.000780     -0.005717    -0.000520
    0.001040      0.007536    -0.000520
   -0.004678     -0.005717    -0.011694
    0.021310      0.009615     0.002859
   -0.014293     -0.006757    -0.002339
    0.014033     -0.000260     0.003119
   -0.019231     -0.003898     0.004938
    0.008056     -0.007017    -0.008576
   -0.001819      0.009356     0.006497
   -0.005198     -0.004678    -0.009096
    0.007536      0.009615     0.004938
   -0.018451     -0.005717    -0.002339
    0.017932      0.008576    -0.004418
   -0.015852      0.003378     0.002859
    0.018971     -0.004678    -0.010395
   -0.003378      0.003638     0.003119
   -0.001040     -0.012214    -0.006237
    0.004418      0.007536    -0.002599
   -0.021050     -0.005198    -0.006237
    0.015073      0.002079     0.005717
   -0.021050     -0.002599     0.007017
    0.018451     -0.006237    -0.003638
   -0.004418      0.005977     0.006757
    0.003898      0.001040    -0.003638
    0.001559      0.007796     0.000520
   -0.018451     -0.006497    -0.008316
    0.018191      0.001819    -0.000260
   -0.012214     -0.003898    -0.001819
    0.022609      0.001819    -0.003378
   -0.009615      0.002599     0.004938
    0.001559     -0.001299    -0.002599
   -0.005717      0.005198     0.003638
   -0.015852     -0.005977    -0.006757
    0.013514      0.003378     0.008836
   -0.012214     -0.009356    -0.002859
    0.025988      0.000000    -0.004158
   -0.005977     -0.002339     0.006757
    0.011694      0.000000    -0.004678
   -0.009096      0.007277     0.006237
   -0.016632     -0.008056    -0.007017
    0.003119      0.008576     0.001299
   -0.016112     -0.003898    -0.009356
    0.024688      0.001559    -0.009356
   -0.009875     -0.002859     0.002859
    0.015593     -0.000780    -0.008316
   -0.009356      0.003378     0.002599
   -0.003378     -0.007277    -0.001040
    0.007277      0.007017     0.006497
   -0.014813     -0.008056     0.000780
    0.019751      0.007277     0.000260
   -0.018711     -0.000780    -0.003378
    0.016372      0.003898    -0.004938
   -0.010395      0.007796     0.004678
    0.002339     -0.006757    -0.005198
