STRONG GROUND MOTION RECORDS OF TURKIYE
PLACE                   : MUðLA OREN BELEDIYE
EARTHQUAKE DATE         : 2017/07/20 22:31:09 (GMT)
EPICENTER COORDINATES   : 36.91980N-27.44350E
EARTHQUAKE DEPTH (km)   : 19.44
EARTHQUAKE MAGNITUDE    : 6.5 Mw
STATION ID              : 4819
STATION COORDINATES     : 37.03130N-27.97120E
STATION ALTITUDE (m)    : 10
RECORDER TYPE           : GeoSig gmsplus
RECORDER SERIAL NO      : 101913
RECORD TIME             : 20/07/2017 22:30:59.000000 (GMT)
NUMBER OF DATA          : 9036
SAMPLING INTERVAL (sec) : 0.01
RAW PGA VALUES (gal)    : (N-S) 78.7235 (E-W) 87.939778 (U-D) 45.10789
Copyright EARTHQUAKE DEPARTMENT
DISASTER AND EMERGENCY MANAGEMENT PRESIDENCY
       N-S          E-W          U-D
    0.018971      0.016632     0.007796
    0.013254      0.016632    -0.001559
    0.019491     -0.016372    -0.002079
   -0.009096     -0.008836    -0.005977
   -0.014293     -0.014813    -0.001299
   -0.051456      0.004418    -0.001040
   -0.035343      0.016112    -0.006237
   -0.017412      0.013514    -0.010135
   -0.012734      0.023909    -0.016372
   -0.005457     -0.011694    -0.003378
   -0.018451      0.009615    -0.008836
    0.001299     -0.003119    -0.003638
   -0.020790      0.025988    -0.003378
   -0.027547      0.025988     0.000000
   -0.047298      0.008836     0.009875
   -0.030406      0.025728     0.007277
   -0.001040     -0.007536     0.020270
    0.001819      0.010135     0.015333
    0.025988     -0.021830     0.022090
    0.014033     -0.010655     0.019751
    0.028067      0.003119     0.003638
   -0.001040      0.017152    -0.014553
   -0.026767      0.049377    -0.031185
   -0.046518      0.030925    -0.021050
   -0.053015      0.045219    -0.010915
   -0.025988      0.015073     0.008576
   -0.027547      0.016892     0.001040
    0.004158      0.002599    -0.005977
    0.000260      0.005198    -0.009875
    0.015852      0.008836    -0.017672
    0.016112     -0.011435    -0.011175
    0.000260      0.006757    -0.012214
