STRONG GROUND MOTION RECORDS OF TURKIYE
PLACE                   : MUðLA BODRUM METEOROLOJI MUDURLUGU
EARTHQUAKE DATE         : 2017/07/20 22:31:09 (GMT)
EPICENTER COORDINATES   : 36.91980N-27.44350E
EARTHQUAKE DEPTH (km)   : 19.44
EARTHQUAKE MAGNITUDE    : 6.5 Mw
STATION ID              : 4809
STATION COORDINATES     : 37.03304N-27.43997E
STATION ALTITUDE (m)    : 25
RECORDER TYPE           : Guralp cmg5td
RECORDER SERIAL NO      : T5J71/A1167
RECORD TIME             : 20/07/2017 22:31:07.000000 (GMT)
NUMBER OF DATA          : 4094
SAMPLING INTERVAL (sec) : 0.01
RAW PGA VALUES (gal)    : (N-S) 158.762353 (E-W) 102.007881 (U-D) 88.038613
Copyright EARTHQUAKE DEPARTMENT
DISASTER AND EMERGENCY MANAGEMENT PRESIDENCY
       N-S          E-W          U-D
    0.012616     -0.024138     0.005461
   -0.004036     -0.001801     0.010861
    0.006181     -0.026908     0.007416
    0.001875     -0.006440     0.007862
    0.006145     -0.022964     0.011284
    0.008308     -0.009703     0.000589
    0.001427     -0.006510     0.015481
    0.012733     -0.026211     0.006650
   -0.001917      0.000283     0.007241
    0.009413     -0.022816     0.008517
   -0.000868     -0.011489     0.005237
    0.003963     -0.018066     0.011077
    0.006405     -0.019232     0.003614
    0.000731      0.003846     0.010198
    0.008843     -0.033462     0.007788
   -0.001408     -0.000245     0.006498
    0.007155     -0.022138     0.008205
    0.005188     -0.005968     0.008455
   -0.001657     -0.011913     0.010571
    0.011708     -0.026058     0.004009
   -0.003492      0.006473     0.015031
    0.009156     -0.030532     0.000875
   -0.001168     -0.005843     0.009450
    0.011175     -0.020816     0.009874
    0.002337     -0.010465     0.005584
    0.005715     -0.012626     0.015033
    0.000930     -0.013590     0.000491
   -0.000563     -0.008709     0.015336
    0.009280     -0.021051     0.006342
   -0.001659     -0.006606     0.007573
    0.009003     -0.024301     0.012989
    0.001021     -0.013434     0.003513
    0.006329     -0.011412     0.012602
    0.002977     -0.019708     0.006878
    0.000897     -0.005037     0.007240
    0.008312     -0.019035     0.009598
    0.004719     -0.003233     0.010044
    0.006835     -0.019612     0.008014
    0.009996     -0.013223     0.006935
   -0.002844     -0.006201     0.009087
    0.011205     -0.024355     0.004475
   -0.000677     -0.000135     0.008458
    0.005508     -0.021405     0.012122
    0.007863     -0.009352     0.006899
    0.001239     -0.008628     0.006924
    0.007424     -0.019282     0.006692
   -0.002691     -0.006541     0.010788
    0.011059     -0.018622     0.004836
    0.002638     -0.007156     0.011194
    0.009436     -0.020354     0.009894
    0.001222     -0.006271     0.001628
    0.002591     -0.009966     0.011555
   -0.001705     -0.024295     0.002952
    0.008797     -0.006108     0.008248
    0.001252     -0.020520     0.006716
   -0.002695      0.002425     0.010942
    0.009192     -0.023197     0.010269
   -0.000598     -0.011834     0.000596
    0.004374     -0.007030     0.010169
    0.009633     -0.013114     0.005528
    0.003451     -0.016191     0.015130
    0.008293     -0.014312    -0.000285
   -0.004128     -0.006587     0.014008
    0.009606     -0.017319     0.006642
   -0.002612     -0.007766     0.003184
    0.010124     -0.022208     0.013120
    0.007300     -0.005345    -0.000707
    0.004410     -0.017118     0.014217
    0.005548     -0.019015     0.002940
   -0.004298      0.002724     0.011794
    0.011382     -0.023208     0.008553
   -0.001713     -0.011243     0.002067
    0.003740     -0.007626     0.010288
    0.007061     -0.020940     0.008068
    0.003705     -0.004636     0.004242
   -0.000439     -0.016955     0.009195
    0.006502     -0.017570     0.007778
   -0.000294     -0.001043     0.006677
    0.009465     -0.021346     0.010911
   -0.004506     -0.001479     0.005752
    0.012484     -0.015823     0.009682
    0.001787     -0.008880     0.008952
   -0.001601     -0.011760     0.007648
    0.010319     -0.020518     0.006374
   -0.001210     -0.000883     0.014209
    0.012144     -0.024671     0.006890
   -0.000203     -0.003376     0.007560
    0.011151     -0.022313     0.007113
   -0.003893     -0.004226     0.005743
    0.007146     -0.016632     0.005259
    0.000896     -0.012829     0.006003
    0.006939     -0.012228     0.010696
   -0.001526     -0.014116     0.007598
    0.007553     -0.006723     0.003861
   -0.001508     -0.017438     0.010569
    0.007143     -0.011864     0.006168
    0.001923     -0.003578     0.009878
    0.010919     -0.021451     0.003696
    0.000535     -0.006591     0.012153
    0.006432     -0.017547     0.007457
    0.004760     -0.010603     0.005001
    0.002533     -0.003684     0.006772
    0.009208     -0.026686     0.005902
   -0.007706      0.004781     0.013796
    0.018170     -0.022924    -0.000982
   -0.012014     -0.001196     0.015366
    0.017106     -0.028718    -0.000367
   -0.005351      0.008891     0.010503
    0.015843     -0.023393     0.005558
   -0.000221     -0.006507     0.003446
    0.002018     -0.013020     0.012558
    0.008540     -0.021494     0.006248
   -0.005024      0.002845     0.009673
    0.016609     -0.025184     0.007353
   -0.003176     -0.000180     0.008531
    0.012430     -0.010313     0.007073
    0.002888     -0.013479     0.009592
    0.008161     -0.010099     0.004931
   -0.002114     -0.017585     0.007740
    0.009812     -0.007256     0.005201
   -0.003893     -0.008260     0.008783
    0.012445     -0.025252     0.007368
   -0.002698      0.005136     0.008701
    0.005041     -0.027692     0.005319
    0.001740     -0.002400     0.009431
    0.004037     -0.023022     0.004338
    0.004164     -0.002289     0.012246
    0.005270     -0.012531     0.006555
    0.003162     -0.016599     0.005537
    0.005466     -0.006859     0.010693
    0.004692     -0.021052     0.004894
   -0.001716     -0.001003     0.003551
    0.007741     -0.025873     0.008829
    0.001024      0.001536     0.006076
    0.009486     -0.008691     0.009811
    0.000665     -0.015966     0.006345
    0.004068     -0.006074     0.007380
    0.005914     -0.021414     0.007863
    0.003291     -0.000179     0.002477
    0.000720     -0.018826     0.013137
    0.009598     -0.011412     0.002338
   -0.010426     -0.001248     0.013836
    0.017639     -0.026855    -0.000087
   -0.011390      0.006214     0.011910
    0.009839     -0.029136     0.002435
   -0.000732      0.011427     0.013504
    0.003908     -0.025933     0.010551
    0.012895     -0.008569    -0.000223
   -0.009993     -0.008092     0.015184
    0.019146     -0.026645    -0.000638
   -0.009608      0.008699     0.015890
    0.018023     -0.034792     0.004384
   -0.008333      0.013477     0.010755
    0.014344     -0.030861     0.006078
   -0.001452      0.000355     0.006427
