STRONG GROUND MOTION RECORDS OF TURKIYE
PLACE                   : MUðLA MERKEZ TARIM MUDURLUGU
EARTHQUAKE DATE         : 2017/07/20 22:31:09 (GMT)
EPICENTER COORDINATES   : 36.91980N-27.44350E
EARTHQUAKE DEPTH (km)   : 19.44
EARTHQUAKE MAGNITUDE    : 6.5 Mw
STATION ID              : 4801
STATION COORDINATES     : 37.21446N-28.35612E
STATION ALTITUDE (m)    : 638
RECORDER TYPE           : Guralp cmg5td
RECORDER SERIAL NO      : 5C20
RECORD TIME             : 20/07/2017 22:31:14.000000 (GMT)
NUMBER OF DATA          : 13494
SAMPLING INTERVAL (sec) : 0.01
RAW PGA VALUES (gal)    : (N-S) 21.838512 (E-W) 26.042589 (U-D) 9.799439
Copyright EARTHQUAKE DEPARTMENT
DISASTER AND EMERGENCY MANAGEMENT PRESIDENCY
       N-S          E-W          U-D
    0.009062      0.003517     0.007266
   -0.001085      0.000672    -0.010090
    0.005271     -0.002415     0.007956
    0.004521     -0.004734    -0.001245
   -0.005504      0.007133    -0.006151
    0.015846     -0.005250     0.007159
   -0.004600      0.020811    -0.007489
    0.017700     -0.011203     0.001813
   -0.003753      0.004792    -0.001197
   -0.001391      0.007667     0.007835
    0.011974     -0.012137    -0.003680
   -0.005203      0.012707     0.002317
    0.020790     -0.004252     0.000872
   -0.020750      0.003740    -0.002181
    0.011864      0.004376     0.003508
    0.015049     -0.001640     0.002237
   -0.009207      0.006798     0.000497
    0.013233      0.002670     0.001124
    0.000643     -0.000984    -0.004673
    0.009959      0.008651     0.005201
    0.003004     -0.014116    -0.005440
    0.002480      0.009520     0.003733
    0.009874      0.003820     0.001464
    0.006741     -0.005902    -0.002712
    0.010815      0.009322     0.002185
    0.010159     -0.012937     0.001676
    0.004159      0.013097    -0.000916
    0.004630      0.010362    -0.006587
    0.007164     -0.009802     0.004842
   -0.004479      0.006581    -0.004938
    0.015269      0.002649     0.008294
    0.001303      0.005345    -0.003512
   -0.000039      0.007226    -0.001340
    0.008493     -0.005371     0.005781
   -0.007778      0.004100    -0.002439
    0.006600      0.001016    -0.000338
   -0.006843      0.007870     0.006141
    0.014830      0.008046    -0.000788
    0.006912     -0.005627     0.002124
    0.000112      0.000398    -0.003148
    0.015184      0.004374     0.004046
   -0.004471     -0.003596     0.006335
    0.004634      0.000967    -0.003064
    0.009421      0.002981     0.000865
    0.008130      0.000618    -0.001021
    0.003456      0.001983    -0.001064
    0.001743      0.003931     0.003698
    0.010663      0.009505     0.003364
    0.001406     -0.009763    -0.001351
    0.002376      0.009240    -0.000551
   -0.001838      0.005501    -0.002990
    0.008917     -0.010848     0.002941
   -0.002447      0.019429    -0.010718
    0.006447     -0.004045     0.004409
    0.008021      0.002481     0.001946
    0.003258      0.002270    -0.003268
    0.007535     -0.001564     0.002859
   -0.004103      0.008794    -0.001395
    0.011336      0.003755     0.002956
   -0.000743     -0.008711    -0.000530
    0.006605      0.001309     0.002083
    0.004817      0.001322    -0.000158
    0.000040      0.009318     0.000587
    0.006469      0.001779     0.002062
    0.004626     -0.023722    -0.003144
   -0.005755      0.037680     0.006848
    0.016792     -0.019069     0.000322
   -0.001650      0.005090    -0.008119
    0.006152      0.006602     0.009336
    0.005940     -0.007557     0.007889
   -0.008303      0.011450    -0.005438
    0.017653     -0.003335     0.009113
    0.003249      0.010013    -0.001708
   -0.001809     -0.003798    -0.004378
    0.013228      0.006289     0.007958
   -0.001079     -0.009718    -0.003600
    0.003792      0.005020    -0.001357
    0.011419      0.010193     0.001853
   -0.007221     -0.006582     0.001638
    0.009871     -0.003609    -0.001790
    0.002433      0.019150    -0.000737
    0.012718     -0.009690    -0.000747
    0.000775      0.006384     0.000635
    0.013073      0.006004     0.003415
